l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_f,heat_ext
1506,9,0.022,1.04,0.025,41.6,25.10710746,41,1547,3.03,2277.62,60.02,8.74,275.97,91.07920792,27593028.04
1506,16,0.027,1.06,0.018,58.88888889,32.58285073,34,1540,3.22,2278.1,59.92,8.53,276.17,85.76708075,25346338.7
1506,14,0.026,1.07,0.03,35.66666667,21.72572514,39,1545,2.96,2279.62,59.99,7.87,271.67,91.78040541,25456270.09
1508,8,0.017,0.76,0.014,54.28571429,39.77262916,23,1531,3.16,2280.09,60.08,7.63,276.53,87.50949367,23122710.17
1508,10,0.022,0.767,0.019,40.36842105,31.21470086,37,1545,3.08,2282.41,60.09,8.16,276.08,89.63636364,25396998.55
1510,5,0.016,0.96,0.024,40,25.93359266,49,1559,3.17,2279.16,59.98,7.05,275.78,86.99684543,21288936.15
1508,8,0.014,0.73,0.02,36.5,29.96988564,43,1551,3.15,2277,60.08,8.4,276.06,87.63809524,25502400
1508,9,0.019,0.725,0.027,26.85185185,23.61991192,36,1544,3.12,2279.26,59.64,8.18,275.78,88.39102564,25098159.15
1508,11,0.03,0.71,0.019,37.36842105,31.21470086,46,1554,3.19,2278.42,59.72,8.76,274.94,86.18808777,26278253.49
1508,12,0.015,0.73,0.021,34.76190476,28.83191546,44,1552,3.32,2278.12,60.17,8.96,277.92,83.71084337,25822352.96
1508,13,0.014,0.751,0.018,41.72222222,32.58285073,66,1574,2.35,2277.77,59.39,7.87,223.32,95.02978723,32038046.63
1508,12,0.018,0.749,0.023,32.56521739,26.82423957,56,1564,3.06,2274.4,59.84,8.49,273.04,89.22875817,26503449.41
1508,13,0.017,0.7,0.018,38.88888889,32.58285073,50,1558,3.21,2280.55,59.88,7.63,275.56,85.84423676,22767135.61
1508,10,0.035,0.82,0.022,37.27272727,27.78715793,42,1550,3.15,2280.52,59.89,8.09,275.52,87.46666667,24599209.07
