grade,grade_s,seq_no,grade_mn,l_temp,dd,p,mn,s,mn_s,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,909,S15,C,0.1315265568,1.217286261,-0.07338895848,0.886861905,-0.3687263505,0.4917559501,-0.2992549174,-0.3852213884,1.663110098,-0.7686216484,0.231543317,0.6912879435,0.03795620396,0.03795620396,0.1664985423
F,909,S34,C,0.1315265568,2.893029441,-0.07338895848,1.075002796,0.8746250973,-0.2094811153,-0.2017639484,-0.1828462253,1.124464404,-0.8067289068,0.205170785,0.6077347428,0.02073955984,0.02073955984,0.2247353656
F,909,M,C,0.1315265568,3.730901031,0.3029995603,0.892237359,0.5193818265,-0.1035140346,0.2531939068,0.7615712028,-1.333106575,-0.8416868051,0.05352872584,0.5013943056,-0.7554746719,-0.7554746719,0.9174656903
F,909,S4,C,0.1315265568,2.055157851,-0.4497774773,0.892237359,-0.7239696213,0.8322439704,-0.1855154536,-0.1491170314,0.9898029807,-0.7861005975,0.1095703564,0.7596496531,-0.02852934727,-0.02852934727,0.3929649809
F,909,S9,C,0.1315265568,0.1001241407,0.8675823385,0.9567428074,0.1641385557,0.1317979243,-0.153018464,-0.0816586437,-0.4578073219,-0.8213734318,0.191984519,0.5393730331,-0.3186481163,-0.3186481163,0.6263695566
F,909,S12,C,0.1315265568,2.055157851,-1.767137293,0.8331073647,-0.5463479859,0.6218317547,-0.3155034122,-0.4189505823,-0.9291223042,-0.8001152504,0.2150604845,0.5089900511,-0.5730515065,-0.5730515065,0.7675768352
F,980,S17,B,0.1691249884,1.775867321,0.1148053009,-0.8064061141,-0.0134830797,-0.5710612342,-0.2017639484,-0.1153878376,0.2491651515,-0.88562038,0.1425360214,0.60393687,-0.02596516623,-0.02596516623,0.4563615814
F,980,S22,B,0.1691249884,2.055157851,-1.578943034,-0.6290161312,0.5193818265,-0.724298889,-0.4129943812,-0.5538673577,0.4174919308,-0.732246538,0.185391386,0.4748091962,-0.06607628392,-0.06607628392,0.2994156379
F,980,S27,B,0.1691249884,1.775867321,0.4911938197,-0.5645106828,-0.3687263505,-0.2563723476,-0.1855154536,-0.0816586437,0.5858187102,-0.7536621874,0.06341842535,0.7254687983,0.04271825446,0.04271825446,0.479210312
F,980,S32,B,0.1691249884,1.217286261,-0.826165996,-0.8064061141,0.1641385557,-0.6531070504,-0.6079763192,-0.9586176841,0.3501612191,-0.7889350217,0.218357051,0.4178411049,-0.00636749686,-0.00636749686,0.2610643566
F,909,S5,C,0.1315265568,2.613738911,-0.826165996,0.7524755543,2.117976545,-0.7647805224,-0.1855154536,-0.1491170314,1.259125828,-0.7043747002,0.23813645,0.71407518,0.06652850697,0.06652850697,0.2890235643
