grade,grade_s,seq_no,l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,909,S25,1506,8,0.022,1.06,0.022,48.18181818,27.78715793,35,1541,3.15,2278.76,59.98,7.76,284.77,142.385,23577570.13
F,980,S31,1508,11,0.017,0.769,0.026,29.57692308,24.33786233,50,1558,3.03,2279.8,60.02,7.78,284.82,142.41,24585724.36
F,980,S05,1508,7,0.014,0.71,0.016,44.375,35.77449321,58,1566,3.14,2278.32,59.93,8.26,285.54,142.77,25171808.1
F,909,S10,1506,8,0.019,1.02,0.02,51,29.96988564,56,1562,3.04,2281.89,59.98,8.22,284.71,142.355,25914463.93
F,909,S15,1506,7,0.014,1.02,0.016,63.75,35.77449321,45,1551,3.19,2280.69,59.98,7.75,282.2,141.1,23271617.4
F,909,S20,1506,12,0.02,1.03,0.018,57.22222222,32.58285073,44,1550,3.08,2281.86,59.97,7.89,283.33,141.665,24550739.18
F,909,S25,1506,10,0.017,1.065,0.021,50.71428571,28.83191546,57,1563,3.17,2276.84,60.26,8.4,282.84,141.42,25339720.88
F,909,M,1506,12,0.028,1.07,0.015,71.33333333,37.65403131,82,1588,2.3,2281.8,59.6,7.57,218.97,109.485,31542412.7
F,909,S05,1506,8,0.021,1.05,0.025,42,25.10710746,47,1553,3.16,2280.23,59.98,7.61,278.49,139.245,23063516.22
F,980,S10,1508,10,0.025,0.726,0.019,38.21052632,31.21470086,44,1552,3.09,2278.74,59.85,8.46,276.04,138.02,26203297.63
F,909,S15,1506,9,0.022,1.04,0.025,41.6,25.10710746,41,1547,3.03,2277.62,60.02,8.74,275.97,137.985,27593028.04
F,909,S20,1506,16,0.027,1.06,0.018,58.88888889,32.58285073,34,1540,3.22,2278.1,59.92,8.53,276.17,138.085,25346338.7
F,909,S25,1506,14,0.026,1.07,0.03,35.66666667,21.72572514,39,1545,2.96,2279.62,59.99,7.87,271.67,135.835,25456270.09
F,980,S30,1508,8,0.017,0.76,0.014,54.28571429,39.77262916,23,1531,3.16,2280.09,60.08,7.63,276.53,138.265,23122710.17
F,980,S35,1508,10,0.022,0.767,0.019,40.36842105,31.21470086,37,1545,3.08,2282.41,60.09,8.16,276.08,138.04,25396998.55
F,976,S05,1510,5,0.016,0.96,0.024,40,25.93359266,49,1559,3.17,2279.16,59.98,7.05,275.78,137.89,21288936.15
F,980,S10,1508,8,0.014,0.73,0.02,36.5,29.96988564,43,1551,3.15,2277,60.08,8.4,276.06,138.03,25502400
F,980,S20,1508,9,0.019,0.725,0.027,26.85185185,23.61991192,36,1544,3.12,2279.26,59.64,8.18,275.78,137.89,25098159.15
F,980,S30,1508,11,0.03,0.71,0.019,37.36842105,31.21470086,46,1554,3.19,2278.42,59.72,8.76,274.94,137.47,26278253.49
F,980,S32,1508,12,0.015,0.73,0.021,34.76190476,28.83191546,44,1552,3.32,2278.12,60.17,8.96,277.92,138.96,25822352.96
F,980,M,1508,13,0.014,0.751,0.018,41.72222222,32.58285073,66,1574,2.35,2277.77,59.39,7.87,223.32,111.66,32038046.63
F,980,S05,1508,12,0.018,0.749,0.023,32.56521739,26.82423957,56,1564,3.06,2274.4,59.84,8.49,273.04,136.52,26503449.41
F,980,S10,1508,13,0.017,0.7,0.018,38.88888889,32.58285073,50,1558,3.21,2280.55,59.88,7.63,275.56,137.78,22767135.61
F,980,S14,1508,10,0.035,0.82,0.022,37.27272727,27.78715793,42,1550,3.15,2280.52,59.89,8.09,275.52,137.76,24599209.07
F,980,S20,1508,10,0.021,0.752,0.02,37.6,29.96988564,44,1552,2.88,2281.86,59.98,7.58,273.39,136.695,25224060.75
F,980,S25,1508,9,0.022,0.69,0.014,49.28571429,39.77262916,64,1572,2.87,2275.89,60.17,7.87,270.55,135.275,26211591.66
F,980,S30,1508,13,0.015,0.702,0.025,28.08,25.10710746,40,1548,2.83,2276.49,59.97,7.68,268.39,134.195,25947159.52
F,980,S33,1508,12,0.025,0.734,0.022,33.36363636,27.78715793,22,1530,2.84,2271.53,59.94,7.87,269.53,134.765,26437729.8
F,980,M,1508,10,0.026,0.745,0.016,46.5625,35.77449321,65,1573,2.28,2274.53,59.41,7.54,217.59,108.795,31592024.58
F,980,S05,1508,8,0.016,0.7,0.015,46.66666667,37.65403131,59,1567,3.01,2272.27,60.01,7.43,280.59,140.295,23557627.12
F,980,S10,1508,6,0.032,0.743,0.025,29.72,25.10710746,55,1563,3.17,2277.31,60.12,7.91,282.44,141.22,23866496.16
F,980,S20,1508,11,0.025,0.75,0.019,39.47368421,31.21470086,53,1561,2.84,2278.22,59.88,7.7,270.97,135.485,25942829.15
F,980,S25,1508,7,0.018,0.79,0.013,60.76923077,42.18126779,31,1539,2.84,2280.7,60.02,7.35,269.49,134.745,24790566.55
F,980,S23,1508,8,0.018,0.75,0.024,31.25,25.93359266,40,1548,2.81,2278.49,60.08,7.24,266.15,133.075,24656343.03
F,980,S16,1508,8,0.014,0.74,0.01,74,51.94243253,49,1557,2.72,2349.81,60.06,7.12,257.26,128.63,25834087.59
F,980,S05,1508,15,0.015,0.7,0.022,31.81818182,27.78715793,45,1553,3.02,2348.5,60.24,7.61,259.59,129.795,24855217.55
F,980,S11,1508,14,0.024,0.712,0.018,39.55555556,32.58285073,45,1553,2.73,2348.83,60.14,6.9,258.2,129.1,24933733.85
F,980,S21,1508,10,0.016,0.742,0.019,39.05263158,31.21470086,30,1538,3.1,2347.59,59.93,7.63,256.06,128.03,24268022.3
F,980,S26,1508,14,0.022,0.743,0.022,33.77272727,27.78715793,45,1553,2.87,2349.24,60.04,7.43,254.22,127.11,25543687.61
F,980,M,1508,15,0.021,0.71,0.025,28.4,25.10710746,73,1581,2.44,2345.05,59.47,7.21,233.75,116.875,29103608.24
F,980,S05,1508,15,0.021,0.789,0.028,28.17857143,22.94811947,28,1536,2.91,2353.01,60.02,6.86,256.04,128.02,23297224.78
